Date,Description,Amount
2026-04-01,RENT PAYMENT LANDLORD,18000
2026-04-02,AMAZON PAY INDIA,1899
2026-04-03,SWIGGY BANGALORE,380
2026-04-04,UBER TRIP,290
2026-04-05,BIGBASKET GROCERY,1850
2026-04-07,NETFLIX SUBSCRIPTION,499
2026-04-08,ELECTRICITY BOARD,1320
2026-04-10,SPOTIFY PREMIUM,119
2026-04-12,ZOMATO ORDER,540
2026-04-14,CULT FIT MEMBERSHIP,1499
2026-04-16,AMAZON PAY INDIA,3200
2026-04-18,OLA CABS,210
2026-04-20,RELIANCE FRESH,980
2026-04-22,PVR CINEMAS,650
2026-04-25,AIRTEL BROADBAND,999
2026-04-28,SALARY CREDIT,75000
